CurrencyIsoCode,SBQQ__Rule__c,SBQQ__Field__c,SBQQ__Formula__c,SBQQ__Order__c,SBQQ__SourceLookupField__c,SBQQ__TargetObject__c,SBQQ__ValueField__c,SBQQ__Value__c,Description__c,SBQQ__SourceVariable__c,Errors,Id
EUR,a0c5E0000020LYdQAM,SBQQ__SpecialPrice__c,"IF (PricingSystem__c = 'List' || PricingSystem__c =  'Parent' , 

ROUND( 
( 
( 
BLANKVALUE(SalesListPriceCostVal1__c ,0 ) + 
BLANKVALUE(SalesListPriceCostVal2__c ,0 ) + 
BLANKVALUE(SalesListPriceVal__c ,0 ) 
) 
/ (1 - BLANKVALUE(SalesListPriceMargin__c ,0 )) 
) 
* BLANKVALUE(SBQQ__Quote__r.ExchangeEUR__c ,0 ) 
, BLANKVALUE(SalesListPriceRounding__c, 2)) 
, SBQQ__SpecialPrice__c)",10,,Quote Line,,,,,,a0a5E000004m1YsQAI
EUR,a0c5E0000020LYUQA2,SalesListPrice__c,,10,Id,Quote Line,,Custom,,,,a0a5E000004m1YtQAI
EUR,a0c5E0000020LYcQAM,SalesListPriceCostVal2__c,,10,PriceEUR__c,Quote Line,,Custom,,,,a0a5E000004m1YuQAI
EUR,a0c5E0000020LYKQA2,PrevPricePerUAM__c,null,10,,Quote Line,,,,,,a0a5E000004m1YvQAI
EUR,a0c5E0000020LYTQA2,SalesListPrice__c,,10,Id,Quote Line,,Custom,,,,a0a5E000004m1YwQAI
EUR,a0c5E0000020LYYQA2,UOMconversion__c,"CASE (

IF (BLANKVALUE(PricingSystem__c, 'xx') = 'List' || BLANKVALUE(PricingSystem__c, 'xx') = 'Parent' && !ISBLANK(SalesListPrice__c) , 

BLANKVALUE(SLPUOM__c, 'XX') + BLANKVALUE(UOM__c, 'XX')
,
BLANKVALUE(UnitOfMeasurePrimary__c, 'XX')  + BLANKVALUE(UOM__c, 'XX')

), 
    ""KGGM"",1000,
""KGMT"",0.001,
""KGLB"",2.2045855,
""M3LT"",1000,
""GMKG"",0.001,
""M100"",100,
""MTKG"",1000,
""GLLT"", 3,78541,
""LTGL"", 0.264172,
""GLKG"", 3,78541,
""KGGL"", 0.264172,

""LBKG"",0.4536,  
""LBMT"" , 0.0004536,
""MTLB"",   2204.5855,
""LBGM"",   453.6,
""GMLB"" , 2204.5855 ,

1)",10,,Quote Line,,Custom,,,,a0a5E000004m1YxQAI
EUR,a0c5E0000020LYXQA2,SalesListPrice__c,,10,Id,Quote Line,,0,,,,a0a5E000004m1YyQAI
EUR,a0c5E0000020LYCQA2,TF_BaseUOM__c,,10,UnitOfMeasure__c,Quote Line,,,,,,a0a5E000004m1YzQAI
EUR,a0c5E0000020LYNQA2,TF_PurchasePrice__c,,10,PriceEUR__c,Quote Line,,,,,,a0a5E000004m1Z0QAI
EUR,a0c5E0000020LYZQA2,SalesListPriceLog__c,"SalesListPriceLog__c + "":MinQty"" + SearchSLPMarginQuantity__c + SalesListPriceLower__c",10,,Quote Line,,Custom,,,,a0a5E000004m1Z1QAI
EUR,a0c5E0000020LYVQA2,SalesListPrice__c,,10,Id,Quote Line,,0,,,,a0a5E000004m1Z2QAI
EUR,a0c5E0000020LYaQAM,SalesListPriceMargin__c,,10,Margin__c,Quote Line,,0,,,,a0a5E000004m1Z3QAI
